timestamp,hour,day_of_week,day,month,is_weekend,hour_sin,hour_cos,aqi_standard,pm2_5,pm10,no2,o3,co,so2,aqi_lag_1h,aqi_lag_3h,aqi_lag_6h,aqi_lag_12h,aqi_lag_24h,pm25_lag_1h,pm25_lag_24h,aqi_rolling_3h,aqi_rolling_6h,aqi_rolling_12h,aqi_rolling_24h,aqi_std_24h,pm25_rolling_6h,pm25_rolling_24h,aqi_change_1h,aqi_change_3h,aqi_change_6h,aqi_change_24h,aqi_pct_change_1h,aqi_pct_change_24h,target_1h,target_6h,target_12h,target_24h,target_48h,target_72h
2025-12-25 10:00:00,10,3,25,12,0,0.49999999999999994,-0.8660254037844387,250,96.09,231.05,3.87,124.42,534.72,6.29,250.0,250.0,250.0,250.0,250.0,91.03,47.7,250.0,250.0,250.0,250.0,0.0,118.11166666666666,126.14791666666667,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 11:00:00,11,3,25,12,0,0.258819045102521,-0.9659258262890682,250,104.96,242.28,8.03,109.28,642.96,5.76,250.0,250.0,250.0,250.0,250.0,96.09,62.11,250.0,250.0,250.0,250.0,0.0,109.50999999999999,127.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 12:00:00,12,3,25,12,0,1.2246467991473532e-16,-1.0,250,112.32,252.84,13.71,98.81,757.16,5.82,250.0,250.0,250.0,250.0,250.0,104.96,75.16,250.0,250.0,250.0,250.0,0.0,101.85000000000001,129.48166666666668,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 13:00:00,13,3,25,12,0,-0.2588190451025208,-0.9659258262890683,250,119.58,262.43,19.2,90.59,880.3,6.59,250.0,250.0,250.0,250.0,250.0,112.32,87.77,250.0,250.0,250.0,250.0,0.0,103.24000000000001,130.80708333333334,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 14:00:00,14,3,25,12,0,-0.4999999999999997,-0.8660254037844388,250,129.46,276.96,23.07,84.98,1003.79,7.69,250.0,250.0,250.0,250.0,250.0,119.58,102.0,250.0,250.0,250.0,250.0,0.0,108.90666666666665,131.95125000000002,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 15:00:00,15,3,25,12,0,-0.7071067811865471,-0.7071067811865479,250,139.16,292.52,25.03,79.32,1113.37,8.51,250.0,250.0,250.0,250.0,250.0,129.46,116.24,250.0,250.0,250.0,250.0,0.0,116.92833333333333,132.90625,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 16:00:00,16,3,25,12,0,-0.8660254037844385,-0.5000000000000004,250,143.15,297.57,24.85,71.34,1164.75,8.02,250.0,250.0,250.0,250.0,250.0,139.16,125.94,250.0,250.0,250.0,250.0,0.0,124.77166666666666,133.62333333333333,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 17:00:00,17,3,25,12,0,-0.9659258262890683,-0.25881904510252063,250,145.91,300.96,24.59,62.92,1213.41,7.01,250.0,250.0,250.0,250.0,250.0,143.15,135.18,250.0,250.0,250.0,250.0,0.0,131.59666666666666,134.07041666666666,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 18:00:00,18,3,25,12,0,-1.0,-1.8369701987210297e-16,250,146.55,298.5,24.22,53.6,1242.03,5.46,250.0,250.0,250.0,250.0,250.0,145.91,142.3,250.0,250.0,250.0,250.0,0.0,137.30166666666665,134.2475,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 19:00:00,19,3,25,12,0,-0.9659258262890684,0.2588190451025203,250,141.89,285.38,22.82,45.14,1214.22,3.52,250.0,250.0,250.0,250.0,250.0,146.55,143.37,250.0,250.0,250.0,250.0,0.0,141.02,134.18583333333333,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 20:00:00,20,3,25,12,0,-0.8660254037844386,0.5000000000000001,250,136.83,272.98,21.19,39.4,1176.08,2.38,250.0,250.0,250.0,250.0,250.0,141.89,143.38,250.0,250.0,250.0,250.0,0.0,142.24833333333333,133.91291666666666,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 21:00:00,21,3,25,12,0,-0.7071067811865477,0.7071067811865474,250,131.88,261.36,19.61,35.15,1139.24,1.72,250.0,250.0,250.0,250.0,250.0,136.83,143.58,250.0,250.0,250.0,250.0,0.0,141.035,133.42541666666668,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 22:00:00,22,3,25,12,0,-0.5000000000000004,0.8660254037844384,250,126.67,249.6,18.18,31.69,1099.96,1.31,250.0,250.0,250.0,250.0,250.0,131.88,143.18,250.0,250.0,250.0,250.0,0.0,138.28833333333333,132.7375,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-25 23:00:00,23,3,25,12,0,-0.25881904510252157,0.9659258262890681,250,122.37,240.57,17.1,28.88,1069.99,1.07,250.0,250.0,250.0,250.0,250.0,126.67,143.87,250.0,250.0,250.0,250.0,0.0,134.365,131.84166666666667,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
2025-12-26 00:00:00,0,4,26,12,0,0.0,1.0,250,118.25,232.14,16.29,26.55,1041.45,0.92,250.0,250.0,250.0,250.0,250.0,122.37,144.68,250.0,250.0,250.0,250.0,0.0,129.64833333333334,130.74041666666668,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0
